Comunidades y Ciudades Autónomas;Sector económico;Periodo;Total
03 Asturias, Principado de;Servicios;2014T1;29,9
03 Asturias, Principado de;Servicios;2013T4;27,4
03 Asturias, Principado de;Servicios;2013T3;33,6
03 Asturias, Principado de;Servicios;2013T2;34,1
03 Asturias, Principado de;Servicios;2013T1;41,7
03 Asturias, Principado de;Servicios;2012T4;40,3
03 Asturias, Principado de;Servicios;2012T3;33,4
03 Asturias, Principado de;Servicios;2012T2;34,3
03 Asturias, Principado de;Servicios;2012T1;37,2
03 Asturias, Principado de;Servicios;2011T4;34,5
03 Asturias, Principado de;Servicios;2011T3;32,5
03 Asturias, Principado de;Servicios;2011T2;31,7
03 Asturias, Principado de;Servicios;2011T1;33,7
03 Asturias, Principado de;Servicios;2010T4;27,7
03 Asturias, Principado de;Servicios;2010T3;22,2
03 Asturias, Principado de;Servicios;2010T2;25,5
03 Asturias, Principado de;Servicios;2010T1;31,4
03 Asturias, Principado de;Servicios;2009T4;26,6
03 Asturias, Principado de;Servicios;2009T3;23,9
03 Asturias, Principado de;Servicios;2009T2;27,8
03 Asturias, Principado de;Servicios;2009T1;24,9
03 Asturias, Principado de;Servicios;2008T4;18,7
03 Asturias, Principado de;Servicios;2008T3;12,2
03 Asturias, Principado de;Servicios;2008T2;17,9
03 Asturias, Principado de;Servicios;2008T1;17,1
03 Asturias, Principado de;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T4;20,2
03 Asturias, Principado de;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T3;25,6
03 Asturias, Principado de;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T2;31,6
03 Asturias, Principado de;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T1;27,7
03 Asturias, Principado de;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2023T4;29,3
03 Asturias, Principado de;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2023T3;38
03 Asturias, Principado de;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2023T2;29,6
03 Asturias, Principado de;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2023T1;31,5
03 Asturias, Principado de;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T4;35,9
03 Asturias, Principado de;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T3;30,5
03 Asturias, Principado de;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T2;25,7
03 Asturias, Principado de;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T1;27,6
03 Asturias, Principado de;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2021T4;28,2
03 Asturias, Principado de;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2021T3;35,2
03 Asturias, Principado de;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2021T2;34,9
03 Asturias, Principado de;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2021T1;29,1
03 Asturias, Principado de;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2020T4;29,7
03 Asturias, Principado de;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2020T3;28,3
03 Asturias, Principado de;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2020T2;28
03 Asturias, Principado de;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2020T1;32,4
03 Asturias, Principado de;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2019T4;34,9
03 Asturias, Principado de;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2019T3;41,3
03 Asturias, Principado de;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2019T2;36,3
03 Asturias, Principado de;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2019T1;37,7
03 Asturias, Principado de;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2018T4;31
03 Asturias, Principado de;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2018T3;33,2
03 Asturias, Principado de;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2018T2;32,7
03 Asturias, Principado de;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2018T1;35,6
03 Asturias, Principado de;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2017T4;35,5
03 Asturias, Principado de;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2017T3;35,1
03 Asturias, Principado de;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2017T2;35,4
03 Asturias, Principado de;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2017T1;37,1
03 Asturias, Principado de;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2016T4;42,5
03 Asturias, Principado de;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2016T3;53,8
03 Asturias, Principado de;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2016T2;56,7
03 Asturias, Principado de;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2016T1;55,5
03 Asturias, Principado de;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2015T4;62,8
03 Asturias, Principado de;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2015T3;54,8
03 Asturias, Principado de;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2015T2;56,3
03 Asturias, Principado de;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2015T1;51,4
03 Asturias, Principado de;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2014T4;60,3
03 Asturias, Principado de;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2014T3;61,2
03 Asturias, Principado de;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2014T2;62
03 Asturias, Principado de;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2014T1;66,1
03 Asturias, Principado de;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2013T4;68,8
03 Asturias, Principado de;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2013T3;72
03 Asturias, Principado de;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2013T2;71,5
03 Asturias, Principado de;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2013T1;70,2
03 Asturias, Principado de;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2012T4;60,7
03 Asturias, Principado de;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2012T3;59,4
03 Asturias, Principado de;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2012T2;52,8
03 Asturias, Principado de;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2012T1;45,3
03 Asturias, Principado de;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2011T4;43,9
03 Asturias, Principado de;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2011T3;39,5
03 Asturias, Principado de;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2011T2;41
03 Asturias, Principado de;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2011T1;42,5
03 Asturias, Principado de;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2010T4;39,7
03 Asturias, Principado de;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2010T3;36,2
03 Asturias, Principado de;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2010T2;42,1
03 Asturias, Principado de;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2010T1;33,8
03 Asturias, Principado de;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2009T4;30,4
03 Asturias, Principado de;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2009T3;30
03 Asturias, Principado de;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2009T2;28,3
03 Asturias, Principado de;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2009T1;21,6
03 Asturias, Principado de;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2008T4;19,9
03 Asturias, Principado de;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2008T3;19,2
03 Asturias, Principado de;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2008T2;15,5
03 Asturias, Principado de;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2008T1;20,2
04 Balears, Illes;Total;2024T4;53,3
04 Balears, Illes;Total;2024T3;43,5
04 Balears, Illes;Total;2024T2;54,4
04 Balears, Illes;Total;2024T1;99,1
04 Balears, Illes;Total;2023T4;70,9
04 Balears, Illes;Total;2023T3;40,7
04 Balears, Illes;Total;2023T2;47,5
04 Balears, Illes;Total;2023T1;112,3
04 Balears, Illes;Total;2022T4;66,4
04 Balears, Illes;Total;2022T3;37,8
04 Balears, Illes;Total;2022T2;59,1
04 Balears, Illes;Total;2022T1;110,4
04 Balears, Illes;Total;2021T4;88,8
04 Balears, Illes;Total;2021T3;66,6
04 Balears, Illes;Total;2021T2;94,5
04 Balears, Illes;Total;2021T1;109,9
04 Balears, Illes;Total;2020T4;109,9
04 Balears, Illes;Total;2020T3;87,9
04 Balears, Illes;Total;2020T2;97,1
04 Balears, Illes;Total;2020T1;111,9
04 Balears, Illes;Total;2019T4;62,7
04 Balears, Illes;Total;2019T3;55,2
04 Balears, Illes;Total;2019T2;79,9
04 Balears, Illes;Total;2019T1;106,2
04 Balears, Illes;Total;2018T4;68,1
04 Balears, Illes;Total;2018T3;48
04 Balears, Illes;Total;2018T2;72,5
04 Balears, Illes;Total;2018T1;103,1
04 Balears, Illes;Total;2017T4;75,1
04 Balears, Illes;Total;2017T3;59,7
04 Balears, Illes;Total;2017T2;72
04 Balears, Illes;Total;2017T1;98,5
04 Balears, Illes;Total;2016T4;81,9
04 Balears, Illes;Total;2016T3;67,9
04 Balears, Illes;Total;2016T2;81,9
04 Balears, Illes;Total;2016T1;110,8
04 Balears, Illes;Total;2015T4;102,8
04 Balears, Illes;Total;2015T3;89,5
04 Balears, Illes;Total;2015T2;103,5
04 Balears, Illes;Total;2015T1;130,7
04 Balears, Illes;Total;2014T4;111,4
04 Balears, Illes;Total;2014T3;101
04 Balears, Illes;Total;2014T2;118
04 Balears, Illes;Total;2014T1;152,5
04 Balears, Illes;Total;2013T4;133,7
04 Balears, Illes;Total;2013T3;106,4
04 Balears, Illes;Total;2013T2;133,1
04 Balears, Illes;Total;2013T1;171,6
04 Balears, Illes;Total;2012T4;146,5
04 Balears, Illes;Total;2012T3;124,9
04 Balears, Illes;Total;2012T2;132,5
04 Balears, Illes;Total;2012T1;165,3
04 Balears, Illes;Total;2011T4;149,8
04 Balears, Illes;Total;2011T3;110,5
04 Balears, Illes;Total;2011T2;116,7
04 Balears, Illes;Total;2011T1;143,4
04 Balears, Illes;Total;2010T4;127,4
04 Balears, Illes;Total;2010T3;104,9
04 Balears, Illes;Total;2010T2;121,7
04 Balears, Illes;Total;2010T1;128
04 Balears, Illes;Total;2009T4;113,4
04 Balears, Illes;Total;2009T3;90,6
04 Balears, Illes;Total;2009T2;108,1
04 Balears, Illes;Total;2009T1;110,8
04 Balears, Illes;Total;2008T4;68,6
04 Balears, Illes;Total;2008T3;55,3
04 Balears, Illes;Total;2008T2;48,5
04 Balears, Illes;Total;2008T1;60
04 Balears, Illes;Agricultura;2024T4;0,8
04 Balears, Illes;Agricultura;2024T3;1,1
04 Balears, Illes;Agricultura;2024T2;1,2
04 Balears, Illes;Agricultura;2024T1;0,6
04 Balears, Illes;Agricultura;2023T4;0,6
04 Balears, Illes;Agricultura;2023T3;..
04 Balears, Illes;Agricultura;2023T2;..
04 Balears, Illes;Agricultura;2023T1;0,4
04 Balears, Illes;Agricultura;2022T4;..
04 Balears, Illes;Agricultura;2022T3;0,2
04 Balears, Illes;Agricultura;2022T2;0,7
04 Balears, Illes;Agricultura;2022T1;2,5
04 Balears, Illes;Agricultura;2021T4;2,7
04 Balears, Illes;Agricultura;2021T3;1,2
04 Balears, Illes;Agricultura;2021T2;1
04 Balears, Illes;Agricultura;2021T1;0,6
04 Balears, Illes;Agricultura;2020T4;1,6
04 Balears, Illes;Agricultura;2020T3;..
04 Balears, Illes;Agricultura;2020T2;0,5
04 Balears, Illes;Agricultura;2020T1;..
04 Balears, Illes;Agricultura;2019T4;0,9
04 Balears, Illes;Agricultura;2019T3;1,6
04 Balears, Illes;Agricultura;2019T2;1,8
04 Balears, Illes;Agricultura;2019T1;1,4
04 Balears, Illes;Agricultura;2018T4;..
04 Balears, Illes;Agricultura;2018T3;..
04 Balears, Illes;Agricultura;2018T2;0,3
04 Balears, Illes;Agricultura;2018T1;..
04 Balears, Illes;Agricultura;2017T4;..
04 Balears, Illes;Agricultura;2017T3;..
04 Balears, Illes;Agricultura;2017T2;..
04 Balears, Illes;Agricultura;2017T1;..
04 Balears, Illes;Agricultura;2016T4;..
04 Balears, Illes;Agricultura;2016T3;..
04 Balears, Illes;Agricultura;2016T2;0,7
04 Balears, Illes;Agricultura;2016T1;..
04 Balears, Illes;Agricultura;2015T4;..
04 Balears, Illes;Agricultura;2015T3;0,4
04 Balears, Illes;Agricultura;2015T2;1,4
04 Balears, Illes;Agricultura;2015T1;1
04 Balears, Illes;Agricultura;2014T4;1
04 Balears, Illes;Agricultura;2014T3;1,1
04 Balears, Illes;Agricultura;2014T2;0,4
04 Balears, Illes;Agricultura;2014T1;1,2
04 Balears, Illes;Agricultura;2013T4;1,1
04 Balears, Illes;Agricultura;2013T3;0,3
04 Balears, Illes;Agricultura;2013T2;0,8
04 Balears, Illes;Agricultura;2013T1;1,2
04 Balears, Illes;Agricultura;2012T4;1
04 Balears, Illes;Agricultura;2012T3;1,1
04 Balears, Illes;Agricultura;2012T2;2,4
04 Balears, Illes;Agricultura;2012T1;2,3
04 Balears, Illes;Agricultura;2011T4;2,4
04 Balears, Illes;Agricultura;2011T3;..
04 Balears, Illes;Agricultura;2011T2;0,5
04 Balears, Illes;Agricultura;2011T1;0,7
04 Balears, Illes;Agricultura;2010T4;0,6
04 Balears, Illes;Agricultura;2010T3;1
04 Balears, Illes;Agricultura;2010T2;0,9
04 Balears, Illes;Agricultura;2010T1;1,6
04 Balears, Illes;Agricultura;2009T4;0,2
04 Balears, Illes;Agricultura;2009T3;1,3
04 Balears, Illes;Agricultura;2009T2;0,8
04 Balears, Illes;Agricultura;2009T1;0,9
04 Balears, Illes;Agricultura;2008T4;1,1
04 Balears, Illes;Agricultura;2008T3;0,7
04 Balears, Illes;Agricultura;2008T2;0,6
04 Balears, Illes;Agricultura;2008T1;0,7
04 Balears, Illes;Industria;2024T4;0,9
04 Balears, Illes;Industria;2024T3;0,7
04 Balears, Illes;Industria;2024T2;1,1
04 Balears, Illes;Industria;2024T1;1,6
04 Balears, Illes;Industria;2023T4;1,6
04 Balears, Illes;Industria;2023T3;1,5
04 Balears, Illes;Industria;2023T2;0,5
04 Balears, Illes;Industria;2023T1;2,8
04 Balears, Illes;Industria;2022T4;0,6
04 Balears, Illes;Industria;2022T3;..
04 Balears, Illes;Industria;2022T2;1,1
04 Balears, Illes;Industria;2022T1;1,2
04 Balears, Illes;Industria;2021T4;4,9
04 Balears, Illes;Industria;2021T3;2,3
04 Balears, Illes;Industria;2021T2;0,8
04 Balears, Illes;Industria;2021T1;0,4
04 Balears, Illes;Industria;2020T4;0,5
04 Balears, Illes;Industria;2020T3;2,1
04 Balears, Illes;Industria;2020T2;1,1
04 Balears, Illes;Industria;2020T1;3,5
04 Balears, Illes;Industria;2019T4;1,5
04 Balears, Illes;Industria;2019T3;1,5
04 Balears, Illes;Industria;2019T2;1,3
04 Balears, Illes;Industria;2019T1;1,2
04 Balears, Illes;Industria;2018T4;1,1
04 Balears, Illes;Industria;2018T3;1,6
04 Balears, Illes;Industria;2018T2;3,4
04 Balears, Illes;Industria;2018T1;2
04 Balears, Illes;Industria;2017T4;1,1
04 Balears, Illes;Industria;2017T3;1,2
04 Balears, Illes;Industria;2017T2;1,5
04 Balears, Illes;Industria;2017T1;2,4
04 Balears, Illes;Industria;2016T4;3
04 Balears, Illes;Industria;2016T3;2,3
04 Balears, Illes;Industria;2016T2;2,3
04 Balears, Illes;Industria;2016T1;3,3
04 Balears, Illes;Industria;2015T4;2
04 Balears, Illes;Industria;2015T3;1,6
04 Balears, Illes;Industria;2015T2;1,4
04 Balears, Illes;Industria;2015T1;1,3
04 Balears, Illes;Industria;2014T4;3,1
04 Balears, Illes;Industria;2014T3;1,6
04 Balears, Illes;Industria;2014T2;0,8
04 Balears, Illes;Industria;2014T1;1,8
04 Balears, Illes;Industria;2013T4;3
04 Balears, Illes;Industria;2013T3;3,6
04 Balears, Illes;Industria;2013T2;2,1
04 Balears, Illes;Industria;2013T1;3,9
04 Balears, Illes;Industria;2012T4;2,5
04 Balears, Illes;Industria;2012T3;2,4
04 Balears, Illes;Industria;2012T2;3,9
04 Balears, Illes;Industria;2012T1;6
04 Balears, Illes;Industria;2011T4;5
04 Balears, Illes;Industria;2011T3;3,5
04 Balears, Illes;Industria;2011T2;3,4
04 Balears, Illes;Industria;2011T1;4,3
04 Balears, Illes;Industria;2010T4;3,4
04 Balears, Illes;Industria;2010T3;4,1
04 Balears, Illes;Industria;2010T2;4,1
04 Balears, Illes;Industria;2010T1;4,6
04 Balears, Illes;Industria;2009T4;5,9
04 Balears, Illes;Industria;2009T3;2,6
04 Balears, Illes;Industria;2009T2;4,2
04 Balears, Illes;Industria;2009T1;3,7
04 Balears, Illes;Industria;2008T4;1,2
04 Balears, Illes;Industria;2008T3;2,2
04 Balears, Illes;Industria;2008T2;2,3
04 Balears, Illes;Industria;2008T1;2,9
04 Balears, Illes;Construcción;2024T4;2,3
04 Balears, Illes;Construcción;2024T3;4
04 Balears, Illes;Construcción;2024T2;3,3
04 Balears, Illes;Construcción;2024T1;4,8
04 Balears, Illes;Construcción;2023T4;2,1
04 Balears, Illes;Construcción;2023T3;1,7
04 Balears, Illes;Construcción;2023T2;4
04 Balears, Illes;Construcción;2023T1;3,3
04 Balears, Illes;Construcción;2022T4;4,6
04 Balears, Illes;Construcción;2022T3;3
04 Balears, Illes;Construcción;2022T2;5,4
04 Balears, Illes;Construcción;2022T1;6,6
04 Balears, Illes;Construcción;2021T4;7,5
04 Balears, Illes;Construcción;2021T3;5,4
04 Balears, Illes;Construcción;2021T2;4,7
04 Balears, Illes;Construcción;2021T1;6,2
04 Balears, Illes;Construcción;2020T4;8,2
04 Balears, Illes;Construcción;2020T3;6
04 Balears, Illes;Construcción;2020T2;8,4
04 Balears, Illes;Construcción;2020T1;5,7
04 Balears, Illes;Construcción;2019T4;6,9
04 Balears, Illes;Construcción;2019T3;8,2
04 Balears, Illes;Construcción;2019T2;4,6
04 Balears, Illes;Construcción;2019T1;3,4
04 Balears, Illes;Construcción;2018T4;2,3
04 Balears, Illes;Construcción;2018T3;4,9
04 Balears, Illes;Construcción;2018T2;4,4
04 Balears, Illes;Construcción;2018T1;8
04 Balears, Illes;Construcción;2017T4;9,8
04 Balears, Illes;Construcción;2017T3;7,4
04 Balears, Illes;Construcción;2017T2;3,3
04 Balears, Illes;Construcción;2017T1;4,2
04 Balears, Illes;Construcción;2016T4;4,6
04 Balears, Illes;Construcción;2016T3;3,6
04 Balears, Illes;Construcción;2016T2;5
04 Balears, Illes;Construcción;2016T1;5,2
04 Balears, Illes;Construcción;2015T4;7,6
04 Balears, Illes;Construcción;2015T3;11,2
04 Balears, Illes;Construcción;2015T2;8
04 Balears, Illes;Construcción;2015T1;9
04 Balears, Illes;Construcción;2014T4;7
04 Balears, Illes;Construcción;2014T3;8,7
04 Balears, Illes;Construcción;2014T2;7,5
04 Balears, Illes;Construcción;2014T1;7
04 Balears, Illes;Construcción;2013T4;6,3
04 Balears, Illes;Construcción;2013T3;7,8
04 Balears, Illes;Construcción;2013T2;7,9
04 Balears, Illes;Construcción;2013T1;11,8
04 Balears, Illes;Construcción;2012T4;9
04 Balears, Illes;Construcción;2012T3;7,1
04 Balears, Illes;Construcción;2012T2;9
04 Balears, Illes;Construcción;2012T1;14
04 Balears, Illes;Construcción;2011T4;14,7
04 Balears, Illes;Construcción;2011T3;16,9
04 Balears, Illes;Construcción;2011T2;13,4
04 Balears, Illes;Construcción;2011T1;14,9
04 Balears, Illes;Construcción;2010T4;15,2
04 Balears, Illes;Construcción;2010T3;13,2
04 Balears, Illes;Construcción;2010T2;13,4
04 Balears, Illes;Construcción;2010T1;13,8
04 Balears, Illes;Construcción;2009T4;22,1
04 Balears, Illes;Construcción;2009T3;27
04 Balears, Illes;Construcción;2009T2;21,9
04 Balears, Illes;Construcción;2009T1;23,1
04 Balears, Illes;Construcción;2008T4;18,1
04 Balears, Illes;Construcción;2008T3;13,5
04 Balears, Illes;Construcción;2008T2;7,6
04 Balears, Illes;Construcción;2008T1;9,9
04 Balears, Illes;Servicios;2024T4;30
04 Balears, Illes;Servicios;2024T3;16,3
04 Balears, Illes;Servicios;2024T2;29,4
04 Balears, Illes;Servicios;2024T1;74,8
04 Balears, Illes;Servicios;2023T4;44
04 Balears, Illes;Servicios;2023T3;18,8
04 Balears, Illes;Servicios;2023T2;23
04 Balears, Illes;Servicios;2023T1;83,7
04 Balears, Illes;Servicios;2022T4;38,7
04 Balears, Illes;Servicios;2022T3;15,4
04 Balears, Illes;Servicios;2022T2;26,1
04 Balears, Illes;Servicios;2022T1;66
04 Balears, Illes;Servicios;2021T4;40,2
04 Balears, Illes;Servicios;2021T3;16,6
04 Balears, Illes;Servicios;2021T2;31,6
04 Balears, Illes;Servicios;2021T1;51,8
04 Balears, Illes;Servicios;2020T4;56,5
04 Balears, Illes;Servicios;2020T3;52
04 Balears, Illes;Servicios;2020T2;64,4
04 Balears, Illes;Servicios;2020T1;74,5
04 Balears, Illes;Servicios;2019T4;33,4
04 Balears, Illes;Servicios;2019T3;19,7
04 Balears, Illes;Servicios;2019T2;46
04 Balears, Illes;Servicios;2019T1;69,9
04 Balears, Illes;Servicios;2018T4;38,8
04 Balears, Illes;Servicios;2018T3;18,8
04 Balears, Illes;Servicios;2018T2;35,8
04 Balears, Illes;Servicios;2018T1;66,4
04 Balears, Illes;Servicios;2017T4;36,5
04 Balears, Illes;Servicios;2017T3;22,3
04 Balears, Illes;Servicios;2017T2;35,8
04 Balears, Illes;Servicios;2017T1;59,7
04 Balears, Illes;Servicios;2016T4;36,2
04 Balears, Illes;Servicios;2016T3;24,6
04 Balears, Illes;Servicios;2016T2;34,7
04 Balears, Illes;Servicios;2016T1;60,5
04 Balears, Illes;Servicios;2015T4;48,6
04 Balears, Illes;Servicios;2015T3;28,1
04 Balears, Illes;Servicios;2015T2;39,4
04 Balears, Illes;Servicios;2015T1;58,4
04 Balears, Illes;Servicios;2014T4;42,4
04 Balears, Illes;Servicios;2014T3;30,2
04 Balears, Illes;Servicios;2014T2;46,5
04 Balears, Illes;Servicios;2014T1;77,3
04 Balears, Illes;Servicios;2013T4;53,2
04 Balears, Illes;Servicios;2013T3;27,7
04 Balears, Illes;Servicios;2013T2;56,1
04 Balears, Illes;Servicios;2013T1;82,3
04 Balears, Illes;Servicios;2012T4;62,3
04 Balears, Illes;Servicios;2012T3;41,1
04 Balears, Illes;Servicios;2012T2;52,2
04 Balears, Illes;Servicios;2012T1;83,2
04 Balears, Illes;Servicios;2011T4;69,7
04 Balears, Illes;Servicios;2011T3;39,5
04 Balears, Illes;Servicios;2011T2;46,5
04 Balears, Illes;Servicios;2011T1;69,3
04 Balears, Illes;Servicios;2010T4;58,3
04 Balears, Illes;Servicios;2010T3;34,7
04 Balears, Illes;Servicios;2010T2;51,5
04 Balears, Illes;Servicios;2010T1;65,4
04 Balears, Illes;Servicios;2009T4;48,5
04 Balears, Illes;Servicios;2009T3;33,2
04 Balears, Illes;Servicios;2009T2;52,4
04 Balears, Illes;Servicios;2009T1;60,2
04 Balears, Illes;Servicios;2008T4;36,1
04 Balears, Illes;Servicios;2008T3;21,7
04 Balears, Illes;Servicios;2008T2;24,3
04 Balears, Illes;Servicios;2008T1;33,2
04 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T4;19,2
04 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T3;21,4
04 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T2;19,3
04 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T1;17,2
04 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2023T4;22,5
04 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2023T3;18,7
04 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2023T2;19,9
04 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2023T1;22,2
04 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T4;22,4
04 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T3;19,2
04 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T2;25,9
04 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T1;34,1
04 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2021T4;33,5
04 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2021T3;41,1
04 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2021T2;56,3
04 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2021T1;50,8
04 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2020T4;43
04 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2020T3;27,8
04 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2020T2;22,7
04 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2020T1;28,2
04 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2019T4;20,1
04 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2019T3;24,2
04 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2019T2;26,2
04 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2019T1;30,2
04 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2018T4;25,9
04 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2018T3;22,8
04 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2018T2;28,6
04 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2018T1;26,8
04 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2017T4;27,6
04 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2017T3;28,8
04 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2017T2;31,3
04 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2017T1;32,2
04 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2016T4;38
04 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2016T3;37,5
04 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2016T2;39,2
04 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2016T1;41,8
04 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2015T4;44,7
